num,title,difficulty,up_vote,down_vote,score
167,Two Sum II - Input Array Is Sorted,Easy,4037,838,0.8172540263576838
168,Excel Sheet Column Title,Easy,2223,366,0.844680256417378
169,Majority Element,Easy,7259,299,0.9558056453063103
171,Excel Sheet Column Number,Easy,2152,224,0.8933103806325544
172,Factorial Trailing Zeroes,Medium,1733,1583,0.5056002756777009
173,Binary Search Tree Iterator,Medium,4523,340,0.9225723695386098
174,Dungeon Game,Hard,3548,70,0.9756275568908492
175,Combine Two Tables,Easy,1641,174,0.8897213521443643
176,Second Highest Salary,Medium,1538,660,0.6802290582666768
177,Nth Highest Salary,Medium,886,581,0.5786859619649048
178,Rank Scores,Medium,1165,186,0.8429206499477234
179,Largest Number,Medium,4098,372,0.9083186894924917
180,Consecutive Numbers,Medium,815,168,0.8042924126466274
181,Employees Earning More Than Their Managers,Easy,1141,146,0.8680687016824054
182,Duplicate Emails,Easy,880,44,0.9366775403033339
183,Customers Who Never Order,Easy,731,64,0.8985047735545998
184,Department Highest Salary,Medium,924,154,0.8349839224571652
185,Department Top Three Salaries,Hard,914,176,0.8155044986107429
187,Repeated DNA Sequences,Medium,1602,382,0.7895218081381752
188,Best Time to Buy and Sell Stock IV,Hard,3270,149,0.9490489919989066
189,Rotate Array,Medium,6857,1110,0.8528972959268036
190,Reverse Bits,Easy,2427,706,0.759695324153627
191,Number of 1 Bits,Easy,2205,719,0.738168826049445
192,Word Frequency,Medium,314,212,0.5544825773049729
193,Valid Phone Numbers,Easy,237,642,0.24133685298999222
194,Transpose File,Medium,92,230,0.23912387048366002
195,Tenth Line,Easy,231,307,0.3881872255271983
196,Delete Duplicate Emails,Easy,701,1097,0.36759109881313173
197,Rising Temperature,Easy,733,310,0.6743400495558138
198,House Robber,Medium,9933,228,0.9744958936181898
199,Binary Tree Right Side View,Medium,5386,298,0.9414694102032028
201,Bitwise AND of Numbers Range,Medium,2037,171,0.9106565902461515
202,Happy Number,Easy,4234,615,0.8635065769228396
203,Remove Linked List Elements,Easy,4032,145,0.9592932496396915
204,Count Primes,Medium,4078,922,0.8046095538164204
205,Isomorphic Strings,Easy,2945,585,0.8216491869339623
206,Reverse Linked List,Easy,9490,165,0.9801264784938598
207,Course Schedule,Medium,7778,310,0.9572635205052358
208,Implement Trie (Prefix Tree),Medium,6001,83,0.9831206601058744
209,Minimum Size Subarray Sum,Medium,5196,161,0.9650261919694441
210,Course Schedule II,Medium,5258,203,0.957475475790767
211,Design Add and Search Words Data Structure,Medium,3710,156,0.9529750795592068
212,Word Search II,Hard,5125,178,0.9612388078060053
213,House Robber II,Medium,4257,76,0.9781025564410011
214,Shortest Palindrome,Hard,2098,170,0.9134734568338924
215,Kth Largest Element in an Array,Medium,7555,426,0.9414732122054785
216,Combination Sum III,Medium,2368,71,0.9634414014818535
217,Contains Duplicate,Easy,3101,901,0.7616619170601986
218,The Skyline Problem,Hard,3442,183,0.9419019655679558
219,Contains Duplicate II,Easy,1907,1656,0.5188168358829907
220,Contains Duplicate III,Medium,1985,1992,0.4835884107891173
221,Maximal Square,Medium,5892,130,0.9744253140936181
222,Count Complete Tree Nodes,Medium,4116,293,0.9258089127570157
223,Rectangle Area,Medium,681,965,0.39016503562282245
224,Basic Calculator,Hard,3102,267,0.9111395710325786
225,Implement Stack using Queues,Easy,1617,757,0.6621018657712933
226,Invert Binary Tree,Easy,7051,96,0.9836254441350348
227,Basic Calculator II,Medium,3217,467,0.8621015108987565
228,Summary Ranges,Easy,1264,827,0.583364106490629
229,Majority Element II,Medium,3857,256,0.9299584766051359
230,Kth Smallest Element in a BST,Medium,5235,103,0.9766535187283939
231,Power of Two,Easy,2155,256,0.8808901820530739
232,Implement Queue using Stacks,Easy,2604,189,0.9224090875858864
233,Number of Digit One,Hard,576,890,0.36821566430006825
234,Palindrome Linked List,Easy,7172,489,0.93047464232957
235,Lowest Common Ancestor of a Binary Search Tree,Easy,4494,161,0.9597685552086598
236,Lowest Common Ancestor of a Binary Tree,Medium,7976,236,0.9674218183373814
237,Delete Node in a Linked List,Easy,3589,10558,0.24659059393746977
238,Product of Array Except Self,Medium,10226,649,0.9357120908108129
239,Sliding Window Maximum,Hard,8030,282,0.9619607211133254
240,Search a 2D Matrix II,Medium,6144,108,0.9791867855226682
241,Different Ways to Add Parentheses,Medium,3006,158,0.9419127218820298
242,Valid Anagram,Easy,3686,190,0.9437252884932987
257,Binary Tree Paths,Easy,3375,163,0.9465146784413183
258,Add Digits,Easy,1473,1405,0.4935477148259612
260,Single Number III,Medium,3429,174,0.9442126885914323
262,Trips and Users,Hard,615,414,0.5673959398327302
263,Ugly Number,Easy,1094,940,0.5161382185987416
264,Ugly Number II,Medium,3420,192,0.9390411925541539
268,Missing Number,Easy,4324,2736,0.6010418636051342
273,Integer to English Words,Hard,1823,4465,0.27883346818342264
274,H-Index,Medium,1072,1686,0.3706618470302524
275,H-Index II,Medium,639,954,0.3773266494026251
278,First Bad Version,Easy,3614,1306,0.7220344705327079
279,Perfect Squares,Medium,5905,271,0.9507221922116004
282,Expression Add Operators,Hard,2263,375,0.8439999637668782
283,Move Zeroes,Easy,7362,206,0.9688671520499716
284,Peeking Iterator,Medium,927,649,0.5637133655016567
287,Find the Duplicate Number,Medium,10501,1070,0.9021128706893803
289,Game of Life,Medium,3358,379,0.8884897286252844
290,Word Pattern,Easy,2438,273,0.8873998787210851
292,Nim Game,Easy,937,2074,0.29490438659296386
295,Find Median from Data Stream,Hard,5813,105,0.9785677621063956
297,Serialize and Deserialize Binary Tree,Hard,5597,226,0.9559156724645587
